V_in,R_in,R_sys,freq,C_DC,C_EXT,C_casc,diode,opamp,eff
0.5 V,500 Ω,50 kΩ,25 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.925921894273007
0.5 V,500 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9258643943739464
0.5 V,500 Ω,50 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9257435646089501
0.5 V,1000 Ω,10 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9607902683267489
0.5 V,1000 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9608098655943664
0.5 V,1000 Ω,10 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9607379348557238
0.5 V,1000 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.959143832007041
0.5 V,1000 Ω,20 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9591290826604939
0.5 V,1000 Ω,20 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9592102302631179
0.5 V,1000 Ω,20 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9591372277865219
0.5 V,1000 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.919696509065788
0.5 V,1000 Ω,50 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9190894414854045
0.5 V,1000 Ω,50 kΩ,40 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9190543166414343
0.5 V,1000 Ω,50 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9189521031377389
0.75 V,100 Ω,5 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9911495487742702
0.75 V,100 Ω,5 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9946978269945351
0.75 V,100 Ω,5 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9936738568643113
0.75 V,100 Ω,5 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9938988103355666
0.75 V,100 Ω,10 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9873895251997358
0.75 V,100 Ω,10 kΩ,25 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9898207680100826
0.75 V,100 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9892529378513063
0.75 V,100 Ω,10 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9892449161490593
0.75 V,100 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9787549671264678
0.75 V,100 Ω,20 kΩ,25 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9806208146726095
0.75 V,100 Ω,20 kΩ,40 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9802925148983502
0.75 V,100 Ω,20 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9802345669812228
0.75 V,100 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9547521966069866
0.75 V,100 Ω,50 kΩ,25 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9550571890366416
0.75 V,100 Ω,50 kΩ,40 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9543448708067931
0.75 V,100 Ω,50 kΩ,55 Hz,100 μFµF,10 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9542841253012423
0.75 V,200 Ω,5 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9908160961688086
0.75 V,200 Ω,5 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9933998031680156
0.75 V,200 Ω,5 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9929341099433121
0.75 V,200 Ω,5 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9929756728125098
0.75 V,200 Ω,10 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9868430081551599
0.75 V,200 Ω,10 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9886059569777274
0.75 V,200 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9882598862124204
0.75 V,200 Ω,10 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9882547308907624
0.75 V,200 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9783956609754868
0.75 V,200 Ω,20 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9792020433000699
0.75 V,200 Ω,20 kΩ,40 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9790203569452222
0.75 V,200 Ω,20 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9789680653337461
0.75 V,200 Ω,50 kΩ,10 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9524705184319279
0.75 V,200 Ω,50 kΩ,25 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9531604324572028
0.75 V,200 Ω,50 kΩ,40 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9531037816815368
0.75 V,200 Ω,50 kΩ,55 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9527227692279419
0.75 V,500 Ω,5 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9909066650765389
0.75 V,500 Ω,5 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9909713305457744
0.75 V,500 Ω,10 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9847952230531807
0.75 V,500 Ω,10 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9858496685245753
0.75 V,500 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9858765435976038
0.75 V,500 Ω,10 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9858875989805819
0.75 V,500 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9758766533355064
0.75 V,500 Ω,20 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9763704794874173
0.75 V,500 Ω,20 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9761412320777013
0.75 V,500 Ω,20 kΩ,55 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9762051398230016
0.75 V,500 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9494025388615959
0.75 V,500 Ω,50 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9491954553631885
0.75 V,500 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9492072698210156
0.75 V,500 Ω,50 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9490921288254515
0.75 V,1000 Ω,10 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9823795477699323
0.75 V,1000 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.982467615260891
