V_in,R_in,R_sys,freq,C_DC,C_EXT,C_casc,diode,opamp,eff
1.5 V,200 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9661482447494099
1.5 V,200 Ω,10 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9661534527785238
1.5 V,200 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.941861581229719
1.5 V,200 Ω,20 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9408259138920361
1.5 V,200 Ω,20 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9405500031193207
1.5 V,200 Ω,20 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9401839402968621
1.5 V,200 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8781553775817372
1.5 V,200 Ω,50 kΩ,25 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8728557631830075
1.5 V,200 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8722350181059634
1.5 V,200 Ω,50 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8714806257590337
1.5 V,500 Ω,5 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9929583499921872
1.5 V,500 Ω,5 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9953336459472637
1.5 V,500 Ω,10 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9596846044489564
1.5 V,500 Ω,10 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9594751721930569
1.5 V,500 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9593755435593055
1.5 V,500 Ω,10 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9593587334165857
1.5 V,500 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.935626775851226
1.5 V,500 Ω,20 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.933159184652945
1.5 V,500 Ω,20 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9326068789530717
1.5 V,500 Ω,20 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9323452831786152
1.5 V,500 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8707013557320071
1.5 V,500 Ω,50 kΩ,25 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8637696112786208
1.5 V,500 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8629377475441332
1.5 V,500 Ω,50 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8624782916821854
1.5 V,1000 Ω,10 kΩ,25 Hz,100 μFµF,100 μFµF,4.7 μF,NSRLL30XV2,LMR1901YG-M,0.9904580556565848
1.5 V,1000 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9910632337436782
1.5 V,1000 Ω,10 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9909938565266998
1.5 V,1000 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9264994404156525
1.5 V,1000 Ω,20 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9225630231594822
1.5 V,1000 Ω,20 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9219401479941685
1.5 V,1000 Ω,20 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9216352514539411
1.5 V,1000 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8603743684167416
1.5 V,1000 Ω,50 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8520593702129519
1.5 V,1000 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8506768268476841
1.5 V,1000 Ω,50 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8501213731706743
