V_in=0.6 V; R_in=50 Ohm; Diode NSRLL30XV2; C=1 µF; Opamp = TLV2401; E=0.00019875850400049214 J; upper_volt_diff=3.301353162777608 V V; lower_voltage_diff=3.246286163356224 V V; pos_ripple=0.027533499710680864 V V
V_in=0.6 V; R_in=50 Ohm; Diode LL101C; C=2 µF; Opamp = TLV2401; E=0.00019019303904054666 J; upper_volt_diff=2.787574355283777 V V; lower_voltage_diff=2.6276840602096545 V V; pos_ripple=0.07994514754237358 V V
V_in=0.6 V; R_in=50 Ohm; Diode LL101C; C=1 µF; Opamp = TLV2401; E=0.0001826337551181083 J; upper_volt_diff=2.7875743552871812 V V; lower_voltage_diff=2.6276840604593956 V V; pos_ripple=0.07994514741389369 V V
V_in=0.6 V; R_in=50 Ohm; Diode LL101C; C=1 µF; Opamp = TLV2401; E=0.0001906449659077107 J; upper_volt_diff=2.907531905144225 V V; lower_voltage_diff=2.7993914334751473 V V; pos_ripple=0.05407023583451709 V V
V_in=0.6 V; R_in=50 Ohm; Diode MBR30H30CTG; C=50 µF; Opamp = TLV2401; E=0.014727169372863792 J; upper_volt_diff=2.9051999166299725 V V; lower_voltage_diff=2.7491202346851056 V V; pos_ripple=0.07803984097253158 V V
V_in=0.6 V; R_in=50 Ohm; Diode LL101C; C=1 µF; Opamp = TLV2401; E=0.00019416322241413316 J; upper_volt_diff=2.9540753829425057 V V; lower_voltage_diff=2.8724611232571733 V V; pos_ripple=0.040807129835969125 V V
V_in=0.6 V; R_in=50 Ohm; Diode LL101C; C=1 µF; Opamp = TLV2401; E=0.00019605288826055056 J; upper_volt_diff=2.9759445328356877 V V; lower_voltage_diff=2.9104359988840502 V V; pos_ripple=0.032754266972420565 V V
V_in=0.6 V; R_in=50 Ohm; Diode LL101C; C=1 µF; Opamp = TLV2401; E=0.000197212042458236 J; upper_volt_diff=2.98750281676704 V V; lower_voltage_diff=2.932812468829143 V V; pos_ripple=0.027345173968935432 V V
V_in=0.6 V; R_in=50 Ohm; Diode MBR30H30CTG; C=50 µF; Opamp = TLV2401; E=0.014972563271093867 J; upper_volt_diff=2.9313146526868588 V V; lower_voltage_diff=2.813936258185168 V V; pos_ripple=0.05868919724646138 V V
V_in=0.6 V; R_in=50 Ohm; Diode MBR30H30CTG; C=20 µF; Opamp = TLV2401; E=0.013888835885503163 J; upper_volt_diff=2.8167992865908302 V V; lower_voltage_diff=2.584447170350826 V V; pos_ripple=0.1161760581199971 V V
V_in=0.6 V; R_in=50 Ohm; Diode BAT54W-G; C=2 µF; Opamp = TLV2401; E=0.0001976352139116743 J; upper_volt_diff=3.297474445232785 V V; lower_voltage_diff=3.1319560437834792 V V; pos_ripple=0.08275920073050069 V V
V_in=0.6 V; R_in=50 Ohm; Diode BAT54W-G; C=1 µF; Opamp = TLV2401; E=0.00019014544123378558 J; upper_volt_diff=3.297474445237697 V V; lower_voltage_diff=3.1319560440575853 V V; pos_ripple=0.0827592005900255 V V
V_in=0.6 V; R_in=50 Ohm; Diode BAT54W-G; C=1 µF; Opamp = TLV2401; E=0.00019859411091978469 J; upper_volt_diff=3.4178872295006903 V V; lower_voltage_diff=3.3059101186426156 V V; pos_ripple=0.05598855542904935 V V
V_in=0.6 V; R_in=50 Ohm; Diode MBR30H30CTG; C=20 µF; Opamp = TLV2401; E=0.014207614590779294 J; upper_volt_diff=2.866819759887546 V V; lower_voltage_diff=2.672399930487809 V V; pos_ripple=0.09720991469983087 V V
V_in=0.6 V; R_in=50 Ohm; Diode BAT54W-G; C=1 µF; Opamp = TLV2401; E=0.00020226442324106214 J; upper_volt_diff=3.4638495654518184 V V; lower_voltage_diff=3.379354278938906 V V; pos_ripple=0.042247643256446255 V V
V_in=0.6 V; R_in=50 Ohm; Diode BAT54W-G; C=1 µF; Opamp = TLV2401; E=0.0002042258923690195 J; upper_volt_diff=3.4851752407914987 V V; lower_voltage_diff=3.4173737686856525 V V; pos_ripple=0.033900736052935754 V V
V_in=0.6 V; R_in=50 Ohm; Diode BAT54W-G; C=1 µF; Opamp = TLV2401; E=0.00020542525230642016 J; upper_volt_diff=3.496315765779989 V V; lower_voltage_diff=3.4397195031370575 V V; pos_ripple=0.02829813132144854 V V
V_in=0.8 V; R_in=50 Ohm; Diode CDBZC0140L; C=2 µF; Opamp = TLV2401; E=0.0003687695960096548 J; upper_volt_diff=5.058014903620364 V V; lower_voltage_diff=4.819543089974026 V V; pos_ripple=0.11923590682927898 V V
V_in=0.8 V; R_in=50 Ohm; Diode CDBZC0140L; C=1 µF; Opamp = TLV2401; E=0.0003563894113769446 J; upper_volt_diff=5.058014903626359 V V; lower_voltage_diff=4.819543090239982 V V; pos_ripple=0.11923590669318473 V V
V_in=0.8 V; R_in=50 Ohm; Diode CDBZC0140L; C=1 µF; Opamp = TLV2401; E=0.00037476404912590856 J; upper_volt_diff=5.252421189056777 V V; lower_voltage_diff=5.0906841871777235 V V; pos_ripple=0.08086850093948961 V V
V_in=0.8 V; R_in=50 Ohm; Diode 1SS422; C=2 µF; Opamp = TLV2401; E=0.0003785076920155477 J; upper_volt_diff=5.13079389266 V V; lower_voltage_diff=4.880248178040979 V V; pos_ripple=0.12527285731496018 V V
V_in=0.8 V; R_in=50 Ohm; Diode CDBZC0140L; C=1 µF; Opamp = TLV2401; E=0.0003829312919765371 J; upper_volt_diff=5.330398835563614 V V; lower_voltage_diff=5.208177642769585 V V; pos_ripple=0.06111059639635208 V V
V_in=0.8 V; R_in=50 Ohm; Diode CDBZC0140L; C=1 µF; Opamp = TLV2401; E=0.00038731764599501343 J; upper_volt_diff=5.368021880713004 V V; lower_voltage_diff=5.2698812796786605 V V; pos_ripple=0.04907030051716088 V V
