0.007979,-8192.0000,-8192.0000,-8192.0000,14188.9602
0.038011,148.5000,-629.3750,-176.0625,670.1963
0.058093,148.7500,-629.9375,-175.4375,670.6162
0.084599,148.6250,-629.6875,-175.3125,670.3210
0.108259,148.6875,-629.4375,-175.9375,670.2638
0.133539,148.2500,-629.7500,-174.8750,670.1824
0.158834,148.5000,-630.0000,-175.0000,670.5052
0.183873,147.7500,-629.4375,-174.8750,669.7782
0.211388,148.0625,-629.5625,-175.2500,670.0627
0.233465,149.0625,-629.6875,-175.8125,670.5490
0.258844,148.4375,-629.7500,-175.5000,670.3872
0.284649,148.9375,-629.8125,-174.1875,670.2145
0.309330,149.2500,-629.5000,-175.0000,670.2021
0.333292,148.3125,-629.5625,-174.9375,670.0363
0.359095,148.4375,-629.8750,-174.7500,670.3087
0.384744,148.9375,-629.4375,-173.7500,669.7485
0.409194,148.4375,-629.3750,-174.5000,669.7737
0.433429,148.5625,-630.1875,-174.3125,670.5162
0.459131,148.5000,-629.5000,-174.5625,669.9213
0.483443,149.0000,-629.9375,-173.9375,670.2809
0.508545,148.6875,-629.4375,-175.2500,670.0837
0.533655,148.4375,-628.9375,-174.6250,669.3952
0.559147,147.8750,-630.1250,-174.8750,670.4519
0.583735,148.1875,-629.4375,-175.5000,670.0383
0.608656,148.3125,-629.6250,-173.4375,669.7050
0.634374,147.5000,-629.7500,-174.8750,670.0168
0.659194,147.7500,-629.8750,-173.9375,669.9454
0.683863,148.6250,-629.7500,-173.8125,669.9890
0.712510,148.3125,-629.8750,-174.0000,670.0859
0.733586,147.7500,-629.5625,-174.1250,669.7003
0.759688,148.1875,-629.3125,-173.5625,669.4159
0.784643,148.7500,-629.7500,-173.3750,669.9034
0.809837,148.9375,-629.5000,-174.0000,669.8721
0.833622,148.8125,-629.7500,-174.5000,670.2093
0.859450,148.5625,-629.5000,-174.7500,669.9841
0.884403,149.1250,-629.9375,-173.9375,670.3087
0.908317,149.0000,-629.8750,-173.1875,670.0279
0.934917,148.0625,-629.8750,-174.7500,670.2258
0.959807,149.0000,-629.6875,-174.1250,670.0947
0.984618,148.0625,-629.3750,-174.1875,669.6093
1.010671,148.5000,-629.5000,-174.5625,669.9213
1.034763,148.8125,-629.5000,-175.2500,670.1701
1.059474,148.3750,-629.6875,-174.6875,670.1024
1.083573,149.1250,-629.8750,-173.6250,670.1690
1.108820,149.6250,-629.4375,-174.6875,670.1455
1.133796,149.0000,-629.7500,-174.3750,670.2184
1.158668,149.5625,-629.5000,-174.3125,670.0926
