0.007670,-8192.0000,-8192.0000,-8192.0000,14188.9602
0.033945,154.1250,-623.0000,-176.6250,665.6425
0.058222,154.4375,-623.3750,-176.5625,666.0493
0.083340,153.8125,-624.1875,-176.2500,666.5826
0.108466,153.3750,-624.4375,-175.8750,666.6169
0.133802,154.6875,-624.2500,-175.3750,666.6128
0.158765,154.8125,-624.1250,-175.9375,666.6730
0.184953,154.5625,-623.5625,-175.2500,665.9071
0.208654,154.8750,-624.2500,-176.5000,666.9532
0.233594,154.6875,-623.8125,-175.3750,666.2032
0.259143,154.3125,-624.1250,-175.2500,666.3760
0.285347,155.2500,-623.1250,-174.8750,665.5589
0.308494,155.0000,-624.2500,-176.6250,667.0153
0.334328,154.8125,-624.1250,-175.8125,666.6401
0.359244,154.1875,-623.9375,-175.3750,666.2043
0.384714,155.0625,-624.3125,-174.9375,666.6435
0.408834,155.8125,-624.2500,-175.3750,666.8748
0.433509,154.6250,-623.2500,-175.7500,665.7609
0.459311,154.2500,-623.3125,-175.1250,665.5677
0.486383,155.1250,-623.7500,-175.7500,666.3452
0.508703,154.4375,-624.0000,-175.5000,666.3537
0.533913,154.3750,-624.0000,-175.4375,666.3227
0.558752,153.8125,-623.4375,-176.1250,665.8473
0.583522,154.6875,-624.4375,-175.3750,666.7884
0.609482,155.1250,-624.0000,-174.6875,666.2998
0.633931,155.0625,-623.7500,-174.7500,666.0676
0.659156,154.8125,-623.8125,-174.9375,666.1172
0.684409,155.3750,-624.1875,-175.5625,666.7635
0.708872,154.3750,-624.0000,-174.3750,666.0438
0.733577,155.2500,-624.0000,-175.1250,666.4438
0.759569,155.7500,-623.7500,-174.3750,666.1297
0.783573,155.0000,-623.5000,-175.0000,665.8846
0.808680,155.0625,-623.9375,-175.2500,666.3745
0.835151,155.1875,-623.4375,-174.9375,665.8533
0.860197,155.6250,-623.6875,-175.0000,666.2059
0.883732,154.5000,-624.1250,-175.4375,666.4687
0.909154,154.6875,-623.7500,-175.2500,666.1117
0.935122,155.2500,-623.6250,-174.8750,666.0270
0.959040,155.3750,-623.6250,-175.0000,666.0890
0.984070,155.3125,-623.8750,-174.6250,666.2101
1.009965,155.2500,-624.2500,-175.3125,666.7272
1.034200,155.8750,-623.6875,-174.3750,666.1004
1.059317,154.1250,-623.8750,-174.6875,665.9506
1.084380,155.6875,-623.7500,-175.0625,666.2954
1.110322,155.0625,-624.3750,-175.3750,666.8170
1.133621,155.1250,-623.8125,-173.8125,665.8953
1.158815,154.6250,-624.1250,-174.3750,666.2188
1.184958,155.4375,-623.8125,-175.6875,666.4600
1.209288,154.3125,-624.0000,-175.0625,666.2096
1.233919,154.8750,-623.7500,-173.8125,665.7786
1.258921,155.2500,-624.0000,-174.6875,666.3290
1.284545,155.9375,-624.1875,-174.3125,666.5669
1.309384,155.6875,-623.8750,-175.3750,666.4946
1.333994,154.8750,-624.0000,-175.0000,666.3237
1.359082,155.2500,-623.0625,-174.6875,665.4511
1.384825,154.7500,-623.6250,-173.6250,665.5835
1.409652,156.0625,-623.6875,-175.0625,666.3246
1.433980,154.5625,-624.3750,-175.3750,666.7009
1.460055,155.4375,-623.5000,-175.0625,666.0030
1.484082,154.8750,-623.3750,-174.1250,665.5090
1.508869,155.6875,-624.0625,-175.2500,666.6372
1.535241,155.7500,-624.1250,-174.1250,666.4155
1.560352,155.1875,-623.6875,-174.5000,665.9726
1.584228,155.5625,-623.9375,-174.6250,666.3269
1.608890,154.9375,-623.6250,-175.3750,666.0857
1.635456,154.7500,-624.1250,-173.5000,666.0194
1.660449,155.3125,-623.5625,-173.0000,665.4932
1.684114,155.5000,-623.8750,-174.3750,666.1883
1.708889,155.1875,-624.0625,-174.7500,666.3893
1.734832,155.7500,-623.9375,-174.2500,666.2726
1.759312,155.0000,-623.8750,-174.6875,666.1537
1.784196,155.3750,-624.2500,-173.5000,666.2820
1.808972,155.4375,-623.8125,-174.0000,666.0172
1.834957,155.6250,-623.8125,-174.2500,666.1263
1.858933,154.8750,-623.6875,-174.5625,665.9162
1.884472,155.7500,-624.2500,-174.2500,666.5652
1.909477,155.6250,-623.8750,-173.8125,666.0705
1.933888,155.7500,-623.7500,-174.5625,666.1788
1.959074,155.5000,-623.8125,-173.6250,665.9339
1.985050,154.9375,-624.0625,-174.1875,666.1838
2.009056,156.1875,-624.3750,-173.8750,666.6867
2.034321,155.3750,-624.1250,-174.2500,666.3606
2.059498,155.1875,-623.2500,-174.5000,665.5629
2.083845,155.6250,-623.6250,-175.1250,666.1802
2.110372,155.3125,-624.5000,-174.6250,666.7954
2.135074,155.5000,-623.4375,-174.1250,665.7132
2.159753,155.7500,-624.0000,-174.3750,666.3638
2.184037,155.8125,-623.9375,-173.8750,666.1892
2.210433,156.3125,-624.2500,-173.4375,666.4850
2.234835,155.1875,-623.7500,-174.9375,666.1459
2.258980,155.5625,-623.8125,-174.0000,666.0463
2.284081,156.0000,-623.7500,-174.1250,666.1228
2.309144,155.1875,-623.5000,-174.6250,665.8298
2.334268,155.6875,-623.2500,-174.3125,665.6305
2.359009,155.5625,-623.9375,-174.0000,666.1634
2.385722,155.3750,-624.0000,-174.1250,666.2109
2.411561,156.0000,-623.4375,-174.6875,665.9775
2.433927,155.5000,-623.9375,-174.2500,666.2142
2.459172,155.3125,-623.5625,-175.0625,666.0323
2.484930,156.0000,-623.6875,-174.5625,666.1788
2.509432,156.6250,-623.8750,-173.6250,666.2560
2.533991,155.8750,-624.0625,-173.6250,666.2557
2.559754,155.5625,-623.5625,-173.8750,665.7795
2.585002,154.7500,-623.7500,-174.6875,665.9785
2.609015,155.7500,-624.1250,-174.2500,666.4482
2.634732,155.1250,-623.6875,-175.3125,666.1714
2.659829,155.7500,-623.8125,-174.3750,666.1882
2.684792,155.8750,-623.6875,-174.5625,666.1495
2.709623,156.0625,-624.3125,-173.1250,666.4037
2.734269,155.8750,-623.7500,-174.1250,666.0935
2.759446,155.6875,-624.0000,-175.2500,666.5787
2.784645,155.3750,-624.2500,-172.6250,666.0547
2.809885,154.8750,-624.0625,-175.1250,666.4151
2.835190,155.7500,-623.8125,-173.5000,665.9597
2.859463,155.2500,-623.7500,-173.3750,665.7518
2.884694,155.0625,-623.9375,-174.0000,666.0468
2.910423,155.3125,-624.2500,-174.9375,666.6432
2.935208,155.5625,-623.6250,-174.3125,665.9525
2.960895,156.2500,-623.9375,-173.8125,666.2754
2.985055,156.0000,-624.2500,-173.0625,666.3143
3.010242,156.1875,-623.8125,-173.8750,666.1600
3.034975,155.9375,-624.1250,-173.8750,666.3941
3.060052,155.2500,-623.4375,-173.8125,665.5732
3.084048,155.8125,-624.3125,-174.0000,666.5731
3.109880,156.3125,-623.6250,-174.0000,666.0463
3.134781,156.0625,-623.4375,-173.5625,665.6980
3.159926,156.0625,-623.4375,-173.0000,665.5515
3.185313,155.2500,-623.5625,-173.3750,665.5762
3.210181,156.3125,-624.5000,-173.0000,666.6055
3.234829,155.5000,-622.9375,-173.5000,665.0817
3.259944,156.3750,-623.6875,-173.8125,666.0706
3.284147,155.2500,-624.0000,-175.0000,666.4110
3.309775,156.1250,-623.6875,-173.8125,666.0119
3.335036,156.5000,-623.3125,-173.6250,665.6999
3.359035,155.6875,-623.6250,-174.7500,666.0963
3.385173,155.8750,-623.5625,-173.3750,665.7222
3.409997,155.7500,-624.5625,-173.8125,666.7437
3.434480,155.6250,-623.5625,-173.5000,665.6963
3.459276,155.6875,-623.1875,-174.5000,665.6211
3.485474,154.7500,-624.0625,-173.5000,665.9608
3.510264,155.3125,-623.4375,-174.3125,665.7185
3.535189,155.6250,-623.4375,-172.7500,665.3841
3.559228,156.1250,-624.1250,-174.3750,666.5686
3.584852,155.7500,-623.8750,-174.6875,666.3286
3.609946,155.4375,-623.7500,-173.8750,665.9260
3.634181,155.8125,-623.7500,-172.6875,665.7046
3.659072,155.5000,-623.6875,-173.1875,665.7028
3.684512,156.1875,-624.2500,-173.8750,666.5697
3.709123,155.3125,-624.0625,-173.7500,666.1569
3.734421,156.4375,-623.6250,-173.8750,666.0431
3.760447,156.4375,-623.8750,-173.7500,666.2445
3.784619,155.8750,-624.0625,-173.8125,666.3046
3.809643,155.8125,-623.6250,-174.6250,666.0928
3.834605,155.9375,-623.7500,-173.2500,665.8800
3.859201,155.5625,-623.7500,-173.1250,665.7597
3.884408,155.3750,-624.1250,-174.1250,666.3279
3.909699,155.5000,-623.6250,-173.3750,665.6931
3.935039,155.2500,-624.0000,-172.7500,665.8236
3.959442,155.4375,-623.4375,-173.4375,665.5191
3.984880,156.1875,-623.9375,-173.5625,666.1955
4.010741,155.8750,-623.7500,-173.0625,665.8166
4.035196,157.0000,-623.8750,-173.9375,666.4257
4.059893,156.1875,-623.2500,-173.0000,665.4052
4.084931,155.8750,-624.4375,-173.8125,666.6558
4.110478,155.6875,-624.0625,-173.8750,666.2771
4.135313,155.9375,-623.9375,-173.7500,666.1858
4.159914,155.8125,-623.8125,-172.2500,665.6498
4.184345,155.1250,-623.8125,-173.6250,665.8464
4.210690,155.0625,-623.8750,-172.8125,665.6790
4.234999,155.5000,-623.7500,-174.3750,666.0713
4.260344,156.1250,-623.3125,-173.3750,665.5467
4.285430,156.3750,-624.0000,-172.8750,666.1193
4.309718,155.6875,-623.8750,-173.7500,666.0688
4.334543,156.4375,-623.9375,-173.4375,666.2216
4.360024,156.0625,-622.8750,-173.2500,665.0897
4.385385,155.9375,-624.0000,-173.1250,666.0817
4.409432,155.9375,-623.2500,-173.1250,665.3791
4.434644,155.7500,-623.6250,-173.0625,665.6702
4.460402,156.1875,-624.0000,-173.2500,666.1727
4.484344,156.4375,-623.6250,-173.5625,665.9615
4.509423,155.5000,-623.9375,-174.2500,666.2142
4.534945,154.8750,-623.8125,-172.6250,665.5281
4.559520,156.4375,-623.9375,-173.1250,666.1403
4.584521,155.5625,-623.6250,-172.3750,665.4479
4.610121,155.4375,-623.1875,-173.5625,665.3175
4.635107,155.6250,-624.0000,-173.6250,666.1387
4.660101,156.1875,-623.0000,-173.5625,665.3176
4.685890,155.9375,-623.8750,-173.4375,666.0459
4.710920,156.2500,-623.3750,-173.1875,665.5857
4.737982,156.5000,-623.6250,-173.5000,665.9599
4.761486,156.7500,-623.7500,-173.8125,666.2172
4.788396,156.1250,-623.9375,-173.1875,666.0833
4.813783,155.4375,-623.6250,-172.8125,665.5322
4.836742,155.8750,-623.6250,-174.3750,666.0419
4.861759,156.2500,-623.6250,-173.9375,666.0154
